feature,importance,std
elevation,0.08854384832212658,0.0009463792277076855
dist_to_road_m,0.06436546304898987,0.00045308424504931464
years_since_harvest,0.048829189172165145,0.00028803334305903646
dist_to_harvest_m,0.039119411681337944,0.0009120602730280291
owner_USFS,0.028603373068988924,0.00047290129613709387
owner_Other,0.017573972883170908,0.0007843982996832695
genus_Centaurea,0.010796340330378152,0.00018434418061082113
genus_Euphorbia,0.0072752468387320855,0.00023985553771833926
genus_Hypericum,0.004047052895138847,0.00016605736833173374
genus_Other,0.0037321071445443944,0.0001719269207937427
genus_Chondrilla,0.0034108624789380704,0.00016046787336482783
genus_Linaria,0.003064422153284152,0.0002837309892018829
genus_Cirsium,0.002774672062737249,0.00013487623013315613
genus_Hieracium,0.002689636710076737,0.00014650902602539385
owner_PRIV,0.001284978662425451,0.00027249633430010767
genus_Cynoglossum,0.0008912964741823349,6.345981033843732e-05
genus_Berteroa,0.0007212257688613333,4.49832507348711e-05
genus_Potentilla,0.0007086279388376137,6.530854086681515e-05
genus_Carduus,0.00042202730579663503,4.817743584012301e-05
genus_Senecio,0.00039053273073714757,0.00018536370211878604
genus_Leucanthemum,0.00028345117553505437,6.45446720058049e-05
genus_Tanacetum,0.00026770388800534395,4.10639018957003e-05
genus_Verbascum,5.039132009514447e-05,3.362700424243846e-05
owner_STDL,1.5747287529732645e-05,0.0
owner_BLM,0.0,0.0
